Total Population,Female Population,Male Population,Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),GDP in USD,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
37065084.0,18677663.0,18387421.0,1.49000000953674,0.939999997615814,8.46000003814697,1725329192783.02,29328725610.2532,13266.022106840494,21.99,78.22858224968,2018,Canada
36545236.0,18419735.0,18125501.0,1.51999998092651,0.959999978542328,8.47999954223633,1649265644244.09,31171032151.0368,13266.022106840494,22.47,78.22858224968,2017,Canada
36109487.0,18202997.0,17906490.0,1.58000004291534,0.990000009536743,8.51000022888184,1527994741907.43,28454713729.5458,13266.022106840494,22.05,78.22858224968,2016,Canada
35702908.0,17999309.0,17703599.0,1.63999998569489,1.01999998092651,8.55000019073486,1556508816217.14,29104161348.0672,13266.022106840494,22.69,74.089062024806,2015,Canada
35437435.0,17864828.0,17572607.0,1.71000003814697,1.05999994277954,8.60999965667725,1805749878439.94,28649089979.3945,15588.4871464315,22.49,73.1928743182183,2014,Canada
35082954.0,17683847.0,17399107.0,1.77999997138977,1.08000004291534,8.72999954223633,1846597421834.98,34978830269.318,15750.8116334788,22.44,73.1735157237361,2013,Canada
34714222.0,17494958.0,17219264.0,1.75,1.11000001430511,9.0,1828366481521.6,33118038446.1077,15336.6248565213,22.17,74.4394791451663,2012,Canada
34339328.0,17303497.0,17035831.0,1.78999996185303,1.10000002384186,8.97999954223633,1793326630174.52,31664131072.9025,15644.54027755,21.84,74.6917469799152,2011,Canada
34004889.0,17133868.0,16871021.0,1.80999994277954,1.11000001430511,8.53999996185303,1617343367486.26,24150754718.8512,15269.745476893,21.88,75.3853926921305,2010,Canada
33628895.0,16945066.0,16683829.0,1.95000004768372,1.19000005722046,8.9399995803833,1374625142157.29,21305222640.189,15450.7306885938,22.5,75.0660005129962,2009,Canada
33247118.0,16754826.0,16492292.0,1.94000005722046,1.21000003814697,9.71000003814697,1552989690721.65,27461105904.4049,16377.4796961349,21.91,75.0760026838519,2008,Canada
32889025.0,16577534.0,16311491.0,2.0,1.30999994277954,10.210000038147,1468820407783.26,23312540731.7754,16683.1336593286,21.84,74.7355837888856,2007,Canada
32571174.0,16420787.0,16150387.0,2.10999989509583,1.38999998569489,10.460000038147,1319264809590.97,22440937940.7616,16508.3395520223,21.92,74.5630719142971,2006,Canada
32243753.0,16258927.0,15984826.0,2.11999988555908,1.35000002384186,10.8000001907349,1173108598778.68,22058095395.2798,16948.2752209397,21.99,75.745137887563,2005,Canada
31940655.0,16108836.0,15831819.0,2.01999998092651,1.28999996185303,11.3199996948242,1026690238278.25,22256725595.6956,17264.7367438144,21.58,75.1971356476301,2004,Canada
31644028.0,15961652.0,15682376.0,2.10999989509583,1.32000005245209,11.3299999237061,895540646634.787,18386267932.3389,17208.5235166648,21.18,76.5470387654659,2003,Canada
31360079.0,15820650.0,15539429.0,2.11999988555908,1.36000001430511,11.5,760649334098.005,15118842796.1512,16960.639671858,21.77,75.1633668641508,2002,Canada
31020902.0,15651822.0,15369080.0,2.16000008583069,1.3400000333786,11.3000001907349,738981792355.372,15650826446.281,16840.1937506524,21.53,76.1549534400917,2001,Canada
30685730.0,15485188.0,15200542.0,2.51999998092651,1.64999997615814,11.4499998092651,744773415931.587,15578075550.468,17037.0722808289,22.04,76.1025718116541,2000,Canada
30401286.0,15344448.0,15056838.0,2.80999994277954,1.94000005722046,11.4899997711182,678412196271.118,14899374032.4426,16678.932595154,21.7050808564312,75.6377547258236,1999,Canada
30155173.0,15223145.0,14932028.0,2.99000000953674,2.05999994277954,11.4399995803833,634000000000.0,13741152679.4742,16435.7869875262,21.5240367061502,75.8827561782628,1998,Canada
29905948.0,15099788.0,14806160.0,3.00999999046326,2.03999996185303,11.4200000762939,654986999855.554,14013433482.5942,16653.6770544776,21.3111503833538,74.7361057993359,1997,Canada
29610218.0,14951719.0,14658499.0,3.10999989509583,2.08999991416931,11.0900001525879,628546387972.131,23492821747.878788,16607.2063366774,21.5792375247257,73.2370849547728,1996,Canada
29302311.0,14795775.0,14506536.0,3.15000009536743,2.11999988555908,11.25,604031623433.401,23492821747.878788,16532.382036352,21.9235763153267,72.5201814385532,1995,Canada
29000663.0,14640956.0,14359707.0,3.34999990463257,2.29999995231628,10.8800001144409,578139279437.61,23492821747.878788,16388.2805024147,21.6926930236164,71.6982666019181,1994,Canada
