Total Population,Female Population,Male Population,Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),GDP in USD,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
66460344.0,33652378.0,32807966.0,1.07000005245209,0.620000004768372,7.44999980926514,2900791442554.06,16726663741.73,4908.445553383698,10.99,91.71115685034363,2018,Great Britain
66058859.0,33464674.0,32594185.0,1.1599999666214,0.649999976158142,7.67000007629395,2699016715111.39,16015390463.524,4908.445553383698,9.7,91.71115685034363,2017,Great Britain
65611593.0,33254646.0,32356947.0,1.12999999523163,0.629999995231628,7.6100001335144,2722851958486.23,15434064387.0918,4908.445553383698,8.6,91.71115685034363,2016,Great Britain
65116219.0,33021393.0,32094826.0,1.13999998569489,0.649999976158142,7.67000007629395,2956573778737.76,18758054856.699,4908.445553383698,8.61,80.3517712672552,2015,Great Britain
64602298.0,32780144.0,31822154.0,1.25999999046326,0.709999978542328,7.94000005722046,3087165602962.86,23046432789.4381,5130.39025330028,7.36,82.7165784999401,2014,Great Britain
64128273.0,32560344.0,31567929.0,1.05999994277954,0.600000023841858,7.67999982833862,2803291406029.93,17871978358.6662,5409.62642171886,6.02,83.5597408024201,2013,Great Britain
63700215.0,32364469.0,31335746.0,1.19000005722046,0.689999997615814,7.65000009536743,2719158341005.79,17332046740.8033,5449.25947267211,4.77,85.1398122284243,2012,Great Britain
63258810.0,32161519.0,31097291.0,1.22000002861023,0.660000026226044,7.51000022888184,2674891473843.81,18462179271.332,5471.93347456267,4.44,85.5631857323452,2011,Great Britain
62766365.0,31931743.0,30834622.0,1.22000002861023,0.610000014305115,7.42999982833862,2491110093454.18,15000478718.3022,5700.85586444268,3.67,88.1681056757852,2010,Great Britain
62276270.0,31701785.0,30574485.0,1.11000001430511,0.550000011920929,7.69000005722046,2425798410967.44,16515033494.3138,5643.1285945674,3.38,87.3677353696343,2009,Great Britain
61806995.0,31481382.0,30325613.0,1.08000004291534,0.730000019073486,9.40999984741211,2938882352941.18,19876838235.2941,6015.72686068947,2.79,90.1786954654442,2008,Great Britain
61322463.0,31253394.0,30069069.0,1.37000000476837,0.75,9.43000030517578,3106182472989.2,17472989195.6783,6102.39676772278,1.84,89.6197550100188,2007,Great Britain
