Total Population,Female Population,Male Population,Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),GDP in USD,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
1352642283.0,649586703.0,703055580.0,43.3300018310547,55.5299987792969,17.2800006866455,2702929718960.46,433323710255.152,335.1825163277327,32.82,54.656074326897304,2018,India
1338676779.0,642796257.0,695880522.0,43.9300003051758,56.3499984741211,17.5200004577637,2651472946374.91,439039677566.795,335.1825163277327,32.41,54.656074326897304,2017,India
1324517250.0,635912563.0,688604687.0,44.560001373291,57.1500015258789,17.7399997711182,2294797980509.01,375516164817.583,335.1825163277327,33.02,54.656074326897304,2016,India
1310152392.0,628929060.0,681223332.0,45.2599983215332,57.9300003051758,17.9500007629395,2103587813812.75,340244981475.06,335.1825163277327,33.4,54.656074326897304,2015,India
1295600768.0,621852998.0,673747770.0,45.8899993896484,58.6699981689453,18.1700000762939,2039127446298.55,342408945451.364,804.5163492833,33.85,73.5769790878008,2014,India
1280842119.0,614676458.0,666165661.0,46.5,59.3600006103516,18.4300003051758,1856722121394.53,318398573403.48,764.201134144621,34.85,72.2854586440549,2013,India
1265780243.0,607359892.0,658420351.0,47.0,59.9599990844727,18.7700004577637,1827637859135.7,307872488773.018,723.236916567989,34.75,72.419079459491,2012,India
1250287939.0,599851346.0,650436593.0,49.2599983215332,63.560001373291,17.1200008392334,1823049927771.46,313418261522.406,696.842681452116,35.01,71.4717185048681,2011,India
1234281163.0,592116982.0,642164181.0,51.5200004577637,66.9800033569336,15.5299997329712,1675615335600.56,285298796155.585,640.394606751363,36.16,71.4046951586205,2010,India
1217726217.0,584142641.0,633583576.0,52.5,67.9300003051758,15.0299997329712,1341886602798.69,224689117967.191,598.498241908181,37.41,71.1434979201925,2009,India
1200669762.0,575948779.0,624720983.0,53.5099983215332,68.8199996948242,14.5900001525879,1198895582137.51,201305866150.943,561.247581414481,39.37,69.0051215885826,2008,India
1183209471.0,567579951.0,615629520.0,54.1100006103516,69.5800018310547,14.3299999237061,1216735441524.86,203804643615.238,541.73839519579,41.53,67.8834329697327,2007,India
1165486291.0,559099816.0,606386475.0,55.0800018310547,70.3399963378906,13.9899997711182,940259888792.141,158052441543.0,509.214054753734,43.16,66.8056737084907,2006,India
1147609924.0,550557711.0,597052213.0,56.0,71.0500030517578,13.6499996185303,820381595512.902,144552934949.948,468.025754019185,44.16,65.9898036089149,2005,India
1129623466.0,541973982.0,587649484.0,56.7799987792969,71.7600021362305,13.210000038147,709148514804.659,126332614153.005,451.611546107878,44.92,65.5837437121253,2004,India
1111523146.0,533346647.0,578176499.0,57.7599983215332,72.5199966430664,12.6999998092651,607699285433.872,119060431717.534,430.483163325867,45.63,64.5192394352755,2003,India
1093317187.0,524676537.0,568640650.0,58.5999984741211,73.1900024414063,12.2600002288818,514937948870.08,100590776441.399,410.644783909356,45.75,64.329205786967,2002,India
1075000094.0,515957249.0,559042845.0,59.0999984741211,73.8000030517578,11.9499998092651,485441014538.638,104946934123.237,393.810198122643,47.11,63.6479663387743,2001,India
1056575548.0,507187684.0,549387864.0,59.6500015258789,74.3899993896484,11.6499996185303,468394937262.37,101225120513.073,393.646247811898,46.88,63.7273945117512,2000,India
1038058154.0,498372774.0,539685380.0,60.0900001525879,74.6100006103516,11.6300001144409,458820417337.807,105402804320.837,392.039692990071,51.7172937036599,63.4604001610669,1999,India
1019483586.0,489529547.0,529954039.0,60.7200012207031,74.7900009155273,11.5900001525879,421351477504.743,101884689868.813,385.863985847439,52.7122557076625,62.0158176745031,1998,India
1000900028.0,480682702.0,520217326.0,61.1199989318848,74.9800033569336,11.6199998855591,415867753863.874,100842418006.206,375.485052938774,52.4880731033173,61.7732902454048,1997,India
982365248.0,471862701.0,510502547.0,61.3499984741211,75.1500015258789,11.6899995803833,392897054348.071,99007331220.7049,359.816270699348,53.767409699754,60.8251557989438,1996,India
963922586.0,463091988.0,500830598.0,61.7599983215332,75.3000030517578,11.6899995803833,360281952716.797,88116130762.4723,358.762212881689,54.4841170038941,59.9879419310204,1995,India
945601828.0,454384941.0,491216887.0,62.1800003051758,75.4599990844727,11.6499996185303,327275583539.559,86793280450.4789,341.231362340387,55.5571874605853,58.0145500336475,1994,India
927403866.0,445740103.0,481663763.0,62.6599998474121,75.7200012207031,11.5900001525879,279296022987.919,75562306673.511,320.550744825125,56.9833633428903,56.9568336076519,1993,India
909307018.0,437144412.0,472162606.0,62.9900016784668,75.9599990844727,11.6000003814697,288208430383.964,77519189362.1291,304.431830526134,57.2305674845727,56.0702824473676,1992,India
891273202.0,428576053.0,462697149.0,63.3199996948242,76.1699981689453,11.5900001525879,270105341879.226,74718445021.3307,290.899579857445,57.6047933357271,55.0634924018219,1991,India
873277799.0,420020420.0,453257379.0,54.8760712487357,68.82178619929722,14.161428621837079,320979026420.035,88541705379.7253,272.063483432263,58.652858348278,53.7639597347536,1990,India
855334675.0,411482898.0,443851777.0,54.8760712487357,68.82178619929722,14.161428621837079,296042354984.876,82417024627.9047,257.039737106414,44.59958342035659,52.8142022603434,1989,India
837468938.0,402975463.0,434493475.0,54.8760712487357,68.82178619929722,14.161428621837079,296588994812.354,85328126974.5868,240.025618717336,44.59958342035659,51.2490485647204,1988,India
819682095.0,394498850.0,425183245.0,54.8760712487357,68.82178619929722,14.161428621837079,279033584092.223,78052330008.6363,220.22074301867,44.59958342035659,49.6834491458036,1987,India
801975250.0,386054080.0,415921170.0,54.8760712487357,68.82178619929722,14.161428621837079,248985994040.59,71312442744.3006,207.976493040153,44.59958342035659,48.253001768131,1986,India
784360012.0,377646920.0,406713092.0,54.8760712487357,68.82178619929722,14.161428621837079,232511877841.698,69098201552.2905,193.534853482561,44.59958342035659,47.2255730197849,1985,India
766833411.0,369276873.0,397556538.0,54.8760712487357,68.82178619929722,14.161428621837079,212158234167.312,66576379193.9799,183.301872328043,44.59958342035659,45.1745737322241,1984,India
749428958.0,360959428.0,388469530.0,54.8760712487357,68.82178619929722,14.161428621837079,218262273406.969,71167764303.0033,165.687486017854,44.59958342035659,43.851836372075,1983,India
732239498.0,352736215.0,379503283.0,54.8760712487357,68.82178619929722,14.161428621837079,200715145363.148,64884682624.4508,158.099911731339,44.59958342035659,43.0251332032812,1982,India
715384997.0,344660922.0,370724075.0,54.8760712487357,68.82178619929722,14.161428621837079,193490610029.789,64427917861.5248,151.87905876645,44.59958342035659,41.4191411626831,1981,India
698952837.0,336773402.0,362179435.0,54.8760712487357,68.82178619929722,14.161428621837079,186325345086.661,64112441680.3796,141.707701516919,44.59958342035659,39.3833507196107,1980,India
682995348.0,329097301.0,353898047.0,54.8760712487357,68.82178619929722,14.161428621837079,152991653793.77,50220321244.2796,135.741773749241,44.59958342035659,38.7025816069271,1979,India
667499815.0,321629374.0,345870441.0,54.8760712487357,68.82178619929722,14.161428621837079,137300295313.3,47058252017.7671,135.917640666312,44.59958342035659,37.2177019408411,1978,India
652408766.0,314349661.0,338059105.0,54.8760712487357,68.82178619929722,14.161428621837079,121487322475.912,43464694625.0745,126.256733956882,44.59958342035659,38.2239786590275,1977,India
637630085.0,307224284.0,330405801.0,54.8760712487357,68.82178619929722,14.161428621837079,102717164466.397,35244351181.0076,124.123691560131,44.59958342035659,37.8503354821663,1976,India
