Total Population,Female Population,Male Population,Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),GDP in USD,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
126811000.0,64875568.0,61935432.0,3.49000000953674,3.01999998092651,14.1400003433228,5037835383110.97,52615764504.0709,5651.901469530437,7.22,88.65398466818677,2018,Japan
126972000.0,64949030.0,62022970.0,3.44000005722046,2.99000000953674,14.1499996185303,4930837369151.42,55641568300.4069,5651.901469530437,6.92,88.65398466818677,2017,Japan
127076000.0,64993146.0,62082854.0,3.5,3.04999995231628,14.210000038147,5003677627544.24,56290438046.6344,5651.901469530437,6.39,88.65398466818677,2016,Japan
127141000.0,65016722.0,62124278.0,3.63000011444092,3.22000002861023,14.4700002670288,4444930651964.18,45965919991.1669,5651.901469530437,6.16,93.0264551074629,2015,Japan
127276000.0,65075452.0,62200548.0,3.69000005722046,3.29999995231628,14.3800001144409,4896994405353.29,48803725389.1671,7819.71463590936,5.58,94.4074689015954,2014,Japan
127445000.0,65150796.0,62294204.0,3.75,3.39000010490417,14.3599996566772,5212328181166.18,55600834051.0709,7988.58331044764,5.05,94.6333015307236,2013,Japan
127629000.0,65232461.0,62396539.0,3.86999988555908,3.53999996185303,14.3800001144409,6272362996105.03,70429476440.8907,7998.34677071825,4.68,94.6215528538495,2012,Japan
127833000.0,65322325.0,62510675.0,3.97000002861023,3.71000003814697,14.5200004577637,6233147172341.35,67334928823.2981,8099.59869517261,4.82,89.7659420746634,2011,Japan
128070000.0,65426533.0,62643467.0,4.07000017166138,3.90000009536743,14.8100004196167,5759071769013.11,63826702874.6623,8594.90903412197,4.66,80.9109544217641,2010,Japan
128047000.0,65395181.0,62651819.0,4.21000003814697,4.09999990463257,15.3100004196167,5289493117993.89,57249057124.0172,8020.27380571196,4.51,81.228056042313,2009,Japan
128063000.0,65381234.0,62681766.0,4.25,4.23000001907349,16.4699993133545,5106679115127.3,53829594763.9066,8270.00773057011,4.44,83.2154545824347,2008,Japan
