Total Population,Female Population,Male Population,Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),GDP in USD,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
57792520.0,29297427.0,28495093.0,5.15999984741211,3.88000011444092,11.6199998855591,404842116738.074,9211178768.16358,3991.581354050453,10.19,87.40752773031039,2018,South Africa
57009751.0,28888314.0,28121437.0,5.28000020980835,3.76999998092651,12.210000038147,381448814653.456,9512565346.39335,3991.581354050453,10.45,87.40752773031039,2017,South Africa
56207649.0,28471936.0,27735713.0,5.57000017166138,3.88000011444092,11.9099998474121,323585509674.481,7811956311.86773,3991.581354050453,10.53,87.40752773031039,2016,South Africa
55386369.0,28049365.0,27337004.0,5.6100001335144,4.23000001907349,11.7299995422363,346709790458.563,7745421796.45039,3991.581354050453,10.28,87.40752773031039,2015,South Africa
54544184.0,27620134.0,26924050.0,4.65000009536743,3.20000004768372,12.0299997329712,381198869776.106,8103329441.92394,4198.04611982095,9.85,86.7914316914016,2014,South Africa
53687125.0,27186808.0,26500317.0,4.98000001907349,3.49000000953674,12.3999996185303,400886013595.573,7724469130.17347,4285.64576702515,9.77,86.5753045830766,2013,South Africa
52832659.0,26757264.0,26075395.0,4.82999992370605,3.58999991416931,12.25,434400545085.811,8586837257.45746,4366.03048883078,10.6,87.1552338062339,2012,South Africa
52003759.0,26341727.0,25662032.0,4.59999990463257,3.45000004768372,12.9399995803833,458201514136.977,9365149068.32298,4566.32375363481,11.36,87.0396420075922,2011,South Africa
51216967.0,25947466.0,25269501.0,4.84999990463257,3.76999998092651,13.0100002288818,417365076968.257,8797168893.07764,4542.59620644854,11.77,87.4612414084292,2010,South Africa
50477013.0,25576554.0,24900459.0,5.05000019073486,3.61999988555908,13.1000003814697,329753048857.052,7912411661.96585,4428.15425706747,10.97,87.6756697252912,2009,South Africa
49779472.0,25226850.0,24552622.0,5.57000017166138,4.11999988555908,13.1000003814697,316132138757.081,8132463758.29177,4665.17603882982,11.55,88.1486688054943,2008,South Africa
49119766.0,24895876.0,24223890.0,6.01000022888184,4.46000003814697,13.0900001525879,333075462599.71,7846971470.74687,4851.69249381196,10.36,87.7174554641475,2007,South Africa
48489464.0,24579340.0,23910124.0,6.5,4.90999984741211,13.2700004577637,303860874149.007,6232115159.12279,4721.93299558849,10.74,87.1137981553145,2006,South Africa
47880595.0,24273136.0,23607459.0,7.01999998092651,5.3899998664856,13.6099996566772,288868489078.987,6023248832.41866,4636.93068141697,10.98,87.1567180454355,2005,South Africa
47291610.0,23976130.0,23315480.0,7.57000017166138,5.8899998664856,13.9200000762939,255806631391.551,6169329752.15567,4589.9050592695,12.29,86.9948355294109,2004,South Africa
46719203.0,23686434.0,23032769.0,8.14000034332275,6.40999984741211,14.1499996185303,197020241490.079,5228872936.13759,4559.77384716944,13.05,86.0232801463329,2003,South Africa
46150913.0,23397962.0,22752951.0,8.71000003814697,6.90000009536743,14.3100004196167,129088132201.846,3817099699.26096,4528.81614714751,13.88,84.8983427744315,2002,South Africa
45571272.0,23103252.0,22468020.0,9.31999969482422,7.6399998664856,14.710000038147,135429607036.658,3808892278.02816,4302.11822922125,15.62,85.678084496442,2001,South Africa
44967713.0,22796107.0,22171606.0,9.93000030517578,8.30000019073486,14.960000038147,151753369491.916,3967968183.52114,4579.95273186341,16.25,84.2434264809192,2000,South Africa
44338551.0,22476167.0,21862384.0,10.2799997329712,8.63000011444092,15.1700000762939,151516560274.982,4312766118.34029,4470.96252649303,18.2213200307393,84.6527318056298,1999,South Africa
43682259.0,22142307.0,21539952.0,10.539999961853,8.88000011444092,15.4099998474121,152982541794.042,4641766365.79057,4606.90460170569,17.272490038871,84.4570529558715,1998,South Africa
42987456.0,21787049.0,21200407.0,10.7399997711182,9.07999992370605,15.5699996948242,168976663845.486,5518601258.68056,4818.49868017312,17.1071913418366,84.9071577134962,1997,South Africa
42241007.0,21401432.0,20839575.0,10.9499998092651,9.25,15.7299995422363,163236785802.34,5577128834.92662,4705.94841642861,17.4377706017221,84.9935558795546,1996,South Africa
41435761.0,20980414.0,20455347.0,11.1300001144409,9.4399995803833,15.9300003051758,171735223677.318,5360861404.42778,4157.56814506194,18.1130796760271,86.3013700350014,1995,South Africa
40564061.0,20519403.0,20044658.0,11.2700004577637,9.52000045776367,16.0799999237061,153512625915.287,5765086966.31745,4068.47825221444,18.5628815589559,86.1528321349113,1994,South Africa
39633754.0,20023534.0,19610220.0,11.3900003433228,9.64999961853027,16.2299995422363,147196639471.188,5037914833.06301,4023.28782683568,18.585950063784,86.650110800266,1993,South Africa
38672611.0,19509646.0,19162965.0,11.4799995422363,9.76000022888184,16.3999996185303,146956872370.266,4627980364.65638,3997.04069632123,18.3632170243738,85.1541575607375,1992,South Africa
37718952.0,19001034.0,18717918.0,11.5100002288818,9.77999973297119,16.5200004577637,135204432694.745,5061384130.66309,4128.26952350108,17.4661188204403,86.2707908672794,1991,South Africa
36800507.0,18514600.0,18285907.0,7.808571474892751,6.246071406773159,13.977142810821531,126048148263.098,4760909370.59746,4238.74594988596,16.6278217077773,86.1560071464834,1990,South Africa
35930056.0,18057604.0,17872452.0,7.808571474892751,6.246071406773159,13.977142810821531,108055603481.557,4753539083.62732,4271.3264905571,13.732684167742324,85.7587484321716,1989,South Africa
35100905.0,17626103.0,17474802.0,7.808571474892751,6.246071406773159,13.977142810821531,103976854738.412,4957625301.43932,4255.16094243154,13.732684167742324,87.1673524930403,1988,South Africa
34297727.0,17212169.0,17085558.0,7.808571474892751,6.246071406773159,13.977142810821531,96535747615.4047,4466036901.89201,4175.11632767967,13.732684167742324,88.5555062554156,1987,South Africa
33495956.0,16802774.0,16693182.0,7.808571474892751,6.246071406773159,13.977142810821531,73354782108.5899,3022277590.96232,4205.70172709804,13.732684167742324,88.0437417287456,1986,South Africa
32678876.0,16388853.0,16290023.0,7.808571474892751,6.246071406773159,13.977142810821531,64459376104.0419,2762628019.6339,4117.79768679926,13.732684167742324,88.7753766417448,1985,South Africa
31841588.0,15968273.0,15873315.0,7.808571474892751,6.246071406773159,13.977142810821531,84870134619.0537,3358690145.41848,4034.97463757147,13.732684167742324,89.3491292378754,1984,South Africa
30993762.0,15545816.0,15447946.0,7.808571474892751,6.246071406773159,13.977142810821531,96204110958.8375,3514944799.12305,3789.53674613621,13.732684167742324,90.2656956031556,1983,South Africa
30150448.0,15127434.0,15023014.0,7.808571474892751,6.246071406773159,13.977142810821531,85904070613.6117,4039359038.88783,3750.22619896063,13.732684167742324,90.5062918186777,1982,South Africa
